Job Title,Industry,AI Impact,Tasks,AI models,AI_Workload_Ratio,Required Education,Median Salary (USD),Expected Openings (2030),AI Impact Original,Experience Required (Years),Automation Risk (%)
Housekeeping,Manufacturing & Labor,20,41,262,0.15648855,High School Diploma,35000,754,20%,3,13.08
Maid,General Business,20,25,154,0.162337662,High School Diploma,35000,1014,20%,3,12.53
Personal Care Aide,General Business,20,131,922,0.14208243,High School Diploma,35000,1079,20%,3,16.56
Personal Chef,General Business,20,64,475,0.134736842,High School Diploma,35000,1071,20%,3,13.95
Private Chef,General Business,20,90,932,0.096566524,High School Diploma,35000,1070,20%,3,15.55
Crossing Guard,General Business,20,2,0,inf,High School Diploma,35000,916,20%,3,100
Facility Security Officer,Information Technology,20,152,1179,0.128922816,Master's Degree,120000,1701,20%,8,17.64
Fire Chief,General Business,20,167,1179,0.141645462,Master's Degree,120000,1104,20%,8,17.99
Forensic Nurse,Public Safety & Government,20,145,1096,0.13229927,High School Diploma,35000,944,20%,3,17.28
Jailer,General Business,20,35,253,0.138339921,High School Diploma,35000,1046,20%,3,12.78
Park Ranger,General Business,20,79,601,0.131447587,High School Diploma,35000,1062,20%,3,14.58
Security Assistant,Information Technology,20,98,609,0.16091954,Associate Degree,40500,1794,20%,0,15.17
Security Officer,Information Technology,20,96,630,0.152380952,Master's Degree,120000,1516,20%,8,15.13
Training Officer,Administrative & Office Support,20,221,1598,0.138297872,Master's Degree,120000,1052,20%,8,20.21
Citrix Administrator,Information Technology,20,6,46,0.130434783,Bachelor's Degree,60000,1850,20%,3,11.55
Computer Engineer,Information Technology,20,6,46,0.130434783,Bachelor's Degree,78000,1924,20%,3,11.55
Console Operator,Manufacturing & Labor,20,6,46,0.130434783,Associate Degree,40500,710,20%,2,11.55
Cyber Security Analyst,Information Technology,20,7,54,0.12962963,Doctorate / PhD,130000,1150,20%,3,11.59
Deployment Manager,General Business,20,6,46,0.130434783,Master's Degree,120000,1010,20%,5,11.55
Desktop Support Manager,General Business,20,6,46,0.130434783,Master's Degree,120000,1026,20%,2,11.55
Electronic Technician,Information Technology,20,144,1129,0.127546501,Associate Degree,45000,1629,20%,2,17.34
Functional Consultant,General Business,20,219,1431,0.153039832,Master's Degree,80000,1080,20%,3,19.74
Help Desk Manager,General Business,20,264,1777,0.148564997,Master's Degree,120000,1070,20%,5,21.56
Information Security Analyst,Information Technology,20,262,1785,0.146778711,Doctorate / PhD,130000,1170,20%,3,21.55
Information Security Manager,Information Technology,20,264,1785,0.14789916,Master's Degree,120000,1814,20%,5,21.59
Information Technology Technician,Information Technology,20,260,1703,0.152671756,Associate Degree,45000,1564,20%,2,21.29
Integration Specialist,General Business,20,277,1789,0.154835103,Bachelor's Degree,78000,1208,20%,2,21.86
It Auditor,Information Technology,20,241,1582,0.152338812,High School Diploma,35000,1527,20%,3,20.58
Modeler,General Business,20,154,1215,0.126748971,High School Diploma,35000,1028,20%,3,17.78
Network Manager,General Business,20,177,1045,0.16937799,Master's Degree,120000,1146,20%,5,17.93
Pacs Administrator,Administrative & Office Support,20,189,1089,0.173553719,Bachelor's Degree,60000,1132,20%,3,18.3
Technical Coordinator,Information Technology,20,344,2461,0.139780577,High School Diploma,35000,1566,20%,5,25.05
Technical Recruiter,Information Technology,20,257,1377,0.186637618,High School Diploma,35000,1467,20%,3,20.43
Technical Specialist,Information Technology,20,193,1421,0.135819845,Bachelor's Degree,78000,1845,20%,2,19.16
Technology Director,Information Technology,20,191,1401,0.136331192,Master's Degree,120000,1534,20%,8,19.06
Web Editor,Information Technology,20,219,1496,0.146390374,High School Diploma,35000,1595,20%,3,19.9
Counselor,General Business,20,8,31,0.258064516,High School Diploma,35000,901,20%,3,12.81
Direct Care Worker,General Business,20,6,20,0.3,High School Diploma,35000,1036,20%,3,13.16
Drug And Alcohol Counselor,General Business,20,201,1360,0.147794118,High School Diploma,35000,947,20%,3,19.18
Guidance Counselor,General Business,20,226,1391,0.162473041,High School Diploma,35000,976,20%,3,19.79
Marriage And Family Therapist,Healthcare,20,121,717,0.168758717,High School Diploma,35000,1722,20%,3,15.96
Front Office Manager,Administrative & Office Support,20,1,2,0.5,Master's Degree,120000,1140,20%,5,15.02
Health Educator,Healthcare,20,709,2796,0.253576538,High School Diploma,35000,1924,20%,3,32.63
Medical Courier,Healthcare,20,742,3149,0.235630359,Associate Degree,45000,1948,20%,3,34.17
Medical Science Liaison,Healthcare,20,988,3937,0.250952502,Associate Degree,45000,1983,20%,3,40.65
Nurse Administrator,Administrative & Office Support,20,893,3569,0.250210143,Bachelor's Degree,60000,1161,20%,3,37.98
Nurse Coordinator,General Business,20,892,3415,0.261200586,High School Diploma,35000,1080,20%,5,37.53
Nurse Manager,General Business,20,900,3448,0.261020882,Master's Degree,120000,1110,20%,5,37.76
Nursing Supervisor,Healthcare,20,815,2976,0.273857527,High School Diploma,35000,1956,20%,5,35
Patient Liaison,General Business,20,800,3265,0.245022971,High School Diploma,35000,929,20%,3,35.51
Pharmacy Supervisor,General Business,20,782,2927,0.267167749,High School Diploma,35000,972,20%,5,34.28
Rehab Aide,General Business,20,626,2893,0.216384376,High School Diploma,35000,1088,20%,3,31.4
Rehab Director,General Business,20,844,3350,0.251940299,Master's Degree,120000,1052,20%,8,36.51
City Manager,Information Technology,20,844,3512,0.240318907,Master's Degree,120000,1804,20%,5,36.97
City Planner,Information Technology,20,845,3511,0.240672173,High School Diploma,35000,1621,20%,3,36.98
Forensic Social Worker,Public Safety & Government,20,647,2667,0.242594676,High School Diploma,35000,955,20%,3,31.17
Park Manager,General Business,20,734,3128,0.234654731,Master's Degree,120000,1043,20%,5,33.97
Psychiatric Social Worker,General Business,20,751,3159,0.23773346,High School Diploma,35000,1092,20%,3,34.36
Public Health Advisor,Healthcare,20,902,3456,0.26099537,High School Diploma,35000,1895,20%,3,37.82
Social Worker,General Business,20,886,3413,0.259595664,High School Diploma,35000,1073,20%,3,37.42
Procurement Manager,Logistics & Supply Chain,20,1089,4060,0.268226601,Master's Degree,120000,1145,20%,5,42.72
Purchasing Manager,Logistics & Supply Chain,20,1184,4682,0.252883383,Master's Degree,120000,1309,20%,5,46.13
Supply Chain Manager,Logistics & Supply Chain,20,1199,4710,0.254564756,Master's Degree,120000,1246,20%,5,46.46
Exercise Physiologist,General Business,20,645,2517,0.256257449,High School Diploma,35000,1077,20%,3,30.75
Fitness Instructor,Information Technology,20,656,2559,0.256350137,High School Diploma,35000,1547,20%,3,31.06
Group Exercise Instructor,General Business,20,653,2528,0.258306962,High School Diploma,35000,961,20%,3,30.92
Group Fitness Instructor,Information Technology,20,649,2520,0.257539683,High School Diploma,35000,1647,20%,3,30.83
Gymnastics Instructor,General Business,20,601,2290,0.262445415,High School Diploma,35000,1002,20%,3,29.37
Head Coach,General Business,20,663,2742,0.241794311,High School Diploma,35000,961,20%,8,31.66
Pilates Instructor,General Business,20,329,1139,0.288849868,High School Diploma,35000,1019,20%,3,21.65
Strength And Conditioning Coach,Information Technology,20,730,2920,0.25,High School Diploma,35000,1395,20%,3,33.33
Tennis Instructor,General Business,20,747,3085,0.242139384,High School Diploma,35000,976,20%,3,34.08
Training Instructor,General Business,20,1122,4338,0.258644537,High School Diploma,35000,1053,20%,3,44.08
Board Operator,Manufacturing & Labor,20,786,3443,0.228289283,Associate Degree,40500,746,20%,2,35.77
Curriculum Writer,Information Technology,20,1119,4992,0.224158654,High School Diploma,35000,1472,20%,3,46
Digital Archivist,Information Technology,20,1128,4433,0.254455222,High School Diploma,35000,1448,20%,3,44.46
Freelance Copywriter,Information Technology,20,1190,4933,0.241232516,High School Diploma,35000,1597,20%,3,46.98
Freelance Writer,Information Technology,20,1186,4899,0.242090222,High School Diploma,35000,1609,20%,3,46.82
Managing Editor,Information Technology,20,1170,5035,0.232373386,High School Diploma,35000,1489,20%,3,46.97
Script Writer,Information Technology,20,1299,5364,0.242170022,High School Diploma,35000,1536,20%,3,50.09
Senior Technical Writer,Information Technology,20,1358,5371,0.252839322,High School Diploma,35000,1525,20%,3,51.07
Sports Writer,Information Technology,20,1247,4990,0.2498998,High School Diploma,35000,1609,20%,3,48.09
Telecommunications Manager,General Business,20,1175,4643,0.253069136,Master's Degree,120000,1014,20%,5,45.86
Writer,Information Technology,20,1314,5319,0.247038917,High School Diploma,35000,1590,20%,3,50.19
Optical Engineer,Information Technology,20,630,2780,0.226618705,Bachelor's Degree,78000,1620,20%,3,31.16
Petroleum Engineer,Information Technology,20,598,2679,0.223217619,Bachelor's Degree,78000,1674,20%,3,30.31
Plant Engineer,Information Technology,20,626,2714,0.230655859,Bachelor's Degree,78000,1796,20%,3,30.91
Plastics Engineer,Information Technology,20,628,2773,0.226469528,Bachelor's Degree,78000,1752,20%,3,31.11
Port Engineer,Information Technology,20,538,2554,0.210649961,Bachelor's Degree,78000,1896,20%,3,28.88
Product Safety Engineer,Information Technology,20,650,2800,0.232142857,Bachelor's Degree,78000,1669,20%,3,31.58
Radar Technician,Information Technology,20,611,2771,0.220498015,Associate Degree,45000,1773,20%,2,30.8
Railroad Engineer,Information Technology,20,543,2285,0.237636761,Bachelor's Degree,78000,1894,20%,3,28.27
Satellite Technician,Information Technology,20,646,2796,0.231044349,Associate Degree,45000,1575,20%,2,31.49
Water Resource Engineer,Information Technology,20,695,2843,0.244460077,Bachelor's Degree,78000,1802,20%,3,32.5
Media Assistant,Administrative & Office Support,20,1221,5112,0.238849765,Associate Degree,40500,1172,20%,0,48.04
Office Administrative Assistant,Administrative & Office Support,20,1181,4661,0.253379103,Associate Degree,40500,1033,20%,0,46.02
Operations Assistant,Administrative & Office Support,20,1234,4776,0.258375209,Associate Degree,40500,1187,20%,0,47.24
Program Administrator,Administrative & Office Support,20,1339,5294,0.252927843,Bachelor's Degree,60000,1240,20%,3,50.52
Program Associate,General Business,20,1329,5313,0.250141163,High School Diploma,35000,926,20%,3,50.42
Residence Manager,General Business,20,895,3577,0.250209673,Master's Degree,120000,1042,20%,5,38.03
Support Manager,General Business,20,1186,4632,0.256044905,Master's Degree,120000,1058,20%,2,46.01
Team Leader,General Business,20,1185,4540,0.261013216,Master's Degree,80000,1047,20%,5,45.72
Airline Pilot,General Business,20,314,1253,0.250598563,High School Diploma,35000,950,20%,3,21.46
Boat Captain,General Business,20,303,1157,0.261884183,High School Diploma,35000,1048,20%,3,21.07
Commercial Diver,General Business,20,308,1236,0.249190939,High School Diploma,35000,946,20%,3,21.3
Dispatcher,Public Safety & Government,20,873,3839,0.22740297,High School Diploma,35000,920,20%,3,38.41
First Officer,Administrative & Office Support,20,281,1113,0.2524708,Master's Degree,120000,1038,20%,8,20.51
Flight Dispatcher,Public Safety & Government,20,472,1903,0.248029427,High School Diploma,35000,938,20%,3,26
Freight Broker,General Business,20,740,2997,0.24691358,High School Diploma,35000,1094,20%,3,33.72
Helicopter Pilot,General Business,20,262,1054,0.24857685,High School Diploma,35000,1058,20%,3,19.98
Petroleum Inspector,General Business,20,561,2455,0.228513238,High School Diploma,35000,1074,20%,3,29.04
Pilot,General Business,20,258,1487,0.173503699,High School Diploma,35000,1033,20%,3,20.7
Private Pilot,General Business,20,227,1299,0.174749808,High School Diploma,35000,1061,20%,3,19.61
Transportation Driver,General Business,20,609,2466,0.246958637,High School Diploma,31500,954,20%,3,29.96
Transportation Specialist,General Business,20,840,3470,0.242074928,Bachelor's Degree,78000,1223,20%,2,36.78
Transporter,General Business,20,613,2475,0.247676768,High School Diploma,35000,912,20%,3,30.05
Baker,General Business,20,316,1344,0.235119048,High School Diploma,35000,993,20%,3,21.65
Bar Server,General Business,20,425,1725,0.246376812,High School Diploma,35000,904,20%,3,24.68
Beverage Server,General Business,20,440,1748,0.251716247,High School Diploma,35000,981,20%,3,25.03
Butler,General Business,20,370,1457,0.253946465,High School Diploma,35000,979,20%,3,23.02
Campground Manager,General Business,20,701,3099,0.226202001,Master's Degree,120000,1032,20%,5,33.31
Catering Assistant,Administrative & Office Support,20,469,2051,0.228668942,Associate Degree,40500,1117,20%,0,26.29
Chef,General Business,20,362,1488,0.24327957,High School Diploma,35000,944,20%,3,22.91
Chef Assistant,Administrative & Office Support,20,356,1506,0.236387782,Associate Degree,40500,1046,20%,0,22.81
Cocktail Waitress,Information Technology,20,452,1771,0.255223038,High School Diploma,35000,1434,20%,3,25.32
Dietary Cook,General Business,20,348,1441,0.241498959,High School Diploma,35000,945,20%,3,22.52
Enologist,General Business,20,407,1554,0.261904762,High School Diploma,35000,1054,20%,3,23.97
Fine Dining Server,General Business,20,550,2139,0.2571295,High School Diploma,35000,1006,20%,3,28.05
Food Safety Specialist,Public Safety & Government,20,786,3041,0.258467609,Bachelor's Degree,78000,1175,20%,2,34.65
Food Server,General Business,20,552,2033,0.271519921,High School Diploma,35000,954,20%,3,27.85
Food Stylist,General Business,20,589,2348,0.250851789,High School Diploma,35000,992,20%,3,29.29
Innkeeper,General Business,20,781,3235,0.241421947,High School Diploma,35000,1067,20%,3,35.09
Nutrition Assistant,Information Technology,20,613,2451,0.250101999,Associate Degree,40500,1724,20%,0,29.99
Occupational Therapist,Healthcare,20,557,2207,0.252378795,High School Diploma,35000,1783,20%,3,28.35
Optometrist,General Business,20,457,1866,0.244908896,High School Diploma,35000,974,20%,3,25.63
Palliative Care Nurse Practitioner,Information Technology,20,617,2411,0.255910411,High School Diploma,35000,1466,20%,3,29.97
Patient Care Assistant,Administrative & Office Support,20,672,2835,0.237037037,Associate Degree,40500,1091,20%,0,32.07
Patient Care Specialist,General Business,20,771,3213,0.239962652,Bachelor's Degree,78000,1117,20%,2,34.86
Pediatric Occupational Therapist,Healthcare,20,541,2167,0.249653899,High School Diploma,35000,1861,20%,3,27.95
Pediatric Physical Therapist,Healthcare,20,539,2165,0.248960739,High School Diploma,35000,1834,20%,3,27.9
Physiologist,General Business,20,517,2470,0.209311741,High School Diploma,35000,901,20%,3,28.27
Psychological Assistant,Administrative & Office Support,20,696,2863,0.243101642,Associate Degree,40500,1029,20%,0,32.57
Radiologist,General Business,20,554,2214,0.250225836,High School Diploma,35000,987,20%,3,28.31
Rn Supervisor,General Business,20,669,2703,0.247502775,High School Diploma,35000,939,20%,5,31.66
Auto Damage Appraiser,General Business,19,671,2692,0.249257058,High School Diploma,35000,1094,19%,3,31.17
Automotive Detailer,General Business,18,392,1373,0.285506191,High School Diploma,35000,1048,18%,3,22.35
Automotive Service Advisor,General Business,18,494,2081,0.237385872,High School Diploma,35000,927,18%,3,25.84
Bike Mechanic,General Business,18,327,1249,0.261809448,High School Diploma,35000,990,18%,3,20.74
Crew Member,General Business,18,504,1900,0.265263158,High School Diploma,35000,1092,18%,3,25.63
Exterminator,General Business,18,208,946,0.21987315,High School Diploma,35000,910,18%,3,17.54
Facilities Assistant,Information Technology,18,382,1845,0.20704607,Associate Degree,40500,1703,18%,0,23.09
Farm Worker,General Business,18,203,822,0.246958637,High School Diploma,35000,1051,18%,3,17.3
Handyman,General Business,18,212,919,0.230685528,High School Diploma,35000,940,18%,3,17.61
Heavy Equipment Operators,Manufacturing & Labor,18,235,1009,0.232903865,Associate Degree,40500,801,18%,2,18.28
Installation Manager,General Business,18,673,2670,0.252059925,Master's Degree,120000,1158,18%,5,30.65
Insulator,General Business,18,186,768,0.2421875,High School Diploma,35000,1024,18%,3,16.81
Journeyman,General Business,18,206,838,0.245823389,High School Diploma,35000,1025,18%,3,17.39
Lathe Machinist,General Business,18,223,879,0.253697383,High School Diploma,35000,1004,18%,3,17.86
Line Service Technician,Information Technology,18,402,2017,0.1993059,Associate Degree,45000,1581,18%,2,23.91
Low Voltage Technician,Information Technology,18,434,2115,0.205200946,Associate Degree,45000,1752,18%,2,24.78
Maintenance,General Business,18,457,1854,0.246494067,High School Diploma,35000,1013,18%,3,24.6
Maintenance Worker,General Business,18,421,1649,0.255306246,High School Diploma,35000,1055,18%,3,23.44
Marine Mechanic,General Business,18,400,1957,0.204394481,High School Diploma,35000,1059,18%,3,23.72
Marine Surveyor,General Business,18,482,2242,0.214986619,High School Diploma,35000,952,18%,3,26.01
Mechanic,General Business,18,358,1485,0.241077441,High School Diploma,35000,1091,18%,3,21.81
Millwright,General Business,18,309,1674,0.184587814,High School Diploma,35000,1036,18%,3,21.21
Motorcycle Technician,Information Technology,18,385,1932,0.199275362,Associate Degree,45000,1748,18%,2,23.36
Paint Technician,Information Technology,18,393,1801,0.218212104,Associate Degree,45000,1611,18%,2,23.21
Parts Specialist,General Business,18,580,2747,0.211139425,Bachelor's Degree,78000,1131,18%,2,29.17
Pipeline,General Business,18,485,1928,0.251556017,High School Diploma,35000,1018,18%,3,25.31
Pressure Washer,General Business,18,257,1296,0.198302469,High School Diploma,35000,1064,18%,3,19.26
Pump Operator,Manufacturing & Labor,17,487,2005,0.242892768,Associate Degree,40500,810,17%,2,25.03
Roustabout,General Business,17,468,1837,0.254763201,High School Diploma,35000,1054,17%,3,24.28
School Custodian,Manufacturing & Labor,17,578,2449,0.2360147,High School Diploma,35000,658,17%,3,27.84
Steamfitter,Information Technology,17,486,2023,0.240237271,High School Diploma,35000,1599,17%,3,25.05
Steel Worker,General Business,17,483,1917,0.251956182,High School Diploma,35000,925,17%,3,24.75
Substation Technician,Information Technology,16,498,2066,0.241045499,Associate Degree,45000,1672,16%,2,24.88
Tower Crane Operator,Manufacturing & Labor,16,481,1909,0.251964379,Associate Degree,40500,761,16%,2,24.19
Tree Climber,General Business,15,474,1836,0.258169935,High School Diploma,35000,1094,15%,3,23.4
Tree Trimmer,General Business,15,476,1917,0.248304643,High School Diploma,35000,984,15%,3,23.61
Utility Operator,Information Technology,15,531,2160,0.245833333,Associate Degree,40500,1562,15%,2,25.24
Welder Apprentice,General Business,15,516,2106,0.245014245,High School Diploma,35000,998,15%,3,24.82
Welder Helper,General Business,15,518,2109,0.245614035,High School Diploma,35000,909,15%,3,24.87
Coating Inspector,General Business,15,464,1732,0.267898383,High School Diploma,35000,1099,15%,3,22.98
Fabricator,General Business,15,246,1018,0.241650295,High School Diploma,35000,915,15%,3,17.06
Freight Handler,General Business,15,210,998,0.210420842,High School Diploma,35000,928,15%,3,16.16
Industrial Cleaner,Manufacturing & Labor,15,181,865,0.209248555,High School Diploma,31500,739,15%,3,15.26
Parts Clerk,Administrative & Office Support,15,592,2344,0.252559727,High School Diploma,31500,1095,15%,0,26.84
Product Tester,General Business,15,782,3424,0.22838785,High School Diploma,35000,1019,15%,3,33.15
Production Manager,General Business,15,927,3806,0.243562796,Master's Degree,120000,1080,15%,5,36.74
Production Supervisor,General Business,15,913,3764,0.242561105,High School Diploma,35000,1034,15%,5,36.38
Shift Leader,General Business,15,996,3933,0.2532418,Master's Degree,80000,1128,15%,5,38.28
Tool And Die Maker,General Business,15,503,2128,0.23637218,High School Diploma,35000,905,15%,3,24.63
Platform Engineer,Information Technology,15,926,3846,0.240769631,Bachelor's Degree,78000,1955,15%,3,36.84
Process Technician,Information Technology,15,744,3051,0.243854474,Associate Degree,45000,1800,15%,2,31.44
Release Engineer,Information Technology,15,1179,4468,0.263876455,Bachelor's Degree,78000,1765,15%,3,42.91
Software Development Manager,Information Technology,15,1238,4840,0.255785124,Master's Degree,120000,1722,15%,5,44.99
Software Engineering Manager,Information Technology,15,1235,4837,0.255323548,Master's Degree,120000,1671,15%,3,44.94
Staff Engineer,Information Technology,15,1162,4576,0.253933566,Bachelor's Degree,78000,1849,15%,3,42.95
Director Of Sustainability,Information Technology,15,834,3231,0.25812442,Master's Degree,120000,1725,15%,8,33.51
Health Policy Analyst,Finance & Banking,15,858,3197,0.268376603,Doctorate / PhD,130000,1055,15%,3,33.84
Psychometrician,General Business,15,729,2848,0.255969101,High School Diploma,35000,937,15%,3,30.62
Sustainability Consultant,Information Technology,15,925,3786,0.244321183,Master's Degree,80000,1751,15%,3,36.65
Sustainability Coordinator,Information Technology,15,922,3790,0.243271768,High School Diploma,35000,1428,15%,5,36.61
Instructional Designer,Architecture & Engineering,15,1387,5666,0.244793505,Bachelor's Degree,60000,1216,15%,3,49.95
Junior Graphic Designer,Architecture & Engineering,15,1217,5123,0.237556119,Bachelor's Degree,60000,1255,15%,0,45.51
Activities Coordinator,Information Technology,15,1085,4318,0.251273738,High School Diploma,35000,1530,15%,5,40.9
Career Specialist,General Business,15,1074,4405,0.243813848,Bachelor's Degree,78000,1273,15%,2,40.97
Chief Human Resources Officer,Administrative & Office Support,15,916,3721,0.246170384,Master's Degree,120000,1141,15%,8,36.3
Construction Supervisor,General Business,15,847,3358,0.252233472,High School Diploma,35000,1055,15%,5,34.09
Corporate Travel Consultant,General Business,15,1077,4443,0.242403781,Master's Degree,80000,1033,15%,3,41.14
Hr Consultant,General Business,15,1071,4272,0.250702247,Master's Degree,80000,1003,15%,3,40.53
Hr Recruiter,Information Technology,15,1072,4257,0.251820531,High School Diploma,35000,1490,15%,3,40.5
Human Resource Consultant,General Business,15,1058,4200,0.251904762,Master's Degree,80000,1174,15%,3,40.1
Human Resources Associate,General Business,15,1049,4152,0.252649326,High School Diploma,35000,948,15%,3,39.81
Human Resources Recruiter,Information Technology,15,1070,4234,0.252716108,High School Diploma,35000,1537,15%,3,40.4
Labor Relations Specialist,Manufacturing & Labor,15,871,3744,0.232638889,Bachelor's Degree,78000,883,15%,2,35.6
Nurse Recruiter,Information Technology,15,942,4011,0.234854151,High School Diploma,35000,1564,15%,3,37.59
Attorney,General Business,15,800,3198,0.250156348,High School Diploma,35000,985,15%,3,32.83
Attorney General,General Business,15,774,3080,0.251298701,High School Diploma,35000,1004,15%,3,32.05
Judicial Law Clerk,Administrative & Office Support,15,698,2908,0.24002751,High School Diploma,31500,926,15%,0,30.23
Law Clerk,Administrative & Office Support,15,650,2816,0.230823864,High School Diploma,31500,1066,15%,0,29.12
Law Librarian,General Business,15,672,3040,0.221052632,High School Diploma,35000,1004,15%,3,30.13
Lawyer,General Business,15,764,3329,0.229498348,High School Diploma,35000,934,15%,3,32.56
Negotiator,General Business,15,876,3713,0.235927821,High School Diploma,35000,1011,15%,3,35.6
Horse Trainer,Education,15,230,885,0.259887006,Bachelor's Degree,60000,1196,15%,3,16.54
Kennel Assistant,Administrative & Office Support,15,222,937,0.236926361,Associate Degree,40500,1184,15%,0,16.38
Kennel Attendant,General Business,15,222,931,0.238453276,High School Diploma,35000,969,15%,3,16.37
Kennel Technician,Information Technology,15,220,929,0.236813778,Associate Degree,45000,1526,15%,2,16.32
Veterinary Pathologist,General Business,15,511,2048,0.249511719,High School Diploma,35000,943,15%,3,24.59
Party Chief,General Business,15,565,2335,0.241970021,Master's Degree,120000,1041,15%,8,26.31
Sushi Chef,General Business,15,453,2032,0.222933071,High School Diploma,35000,1094,15%,3,23.43
Barber,General Business,15,310,1258,0.246422893,High School Diploma,35000,1003,15%,3,18.87
Care Taker,General Business,15,465,1741,0.267087881,High School Diploma,35000,1007,15%,3,23.02
Caretaker,General Business,15,464,1829,0.253690541,High School Diploma,35000,1024,15%,3,23.18
Home Attendant,General Business,15,401,1604,0.25,High School Diploma,35000,963,15%,3,21.44
Home Care Provider,General Business,15,409,1607,0.254511512,High School Diploma,35000,910,15%,3,21.62
Home Caregiver,General Business,15,414,1640,0.252439024,High School Diploma,35000,1080,15%,3,21.78
Personal Caregiver,General Business,15,523,2011,0.260069617,High School Diploma,35000,954,15%,3,24.74
Private Caregiver,General Business,15,523,2172,0.240791897,High School Diploma,35000,1039,15%,3,25.12
Senior Caregiver,General Business,15,640,2521,0.253867513,High School Diploma,35000,1000,15%,3,28.17
Detention Officer,Administrative & Office Support,15,519,1946,0.266700925,Master's Degree,120000,1141,15%,8,24.52
Firearms Instructor,General Business,15,349,1315,0.26539924,High School Diploma,35000,902,15%,3,19.83
Guard,General Business,15,326,1280,0.2546875,High School Diploma,35000,912,15%,3,19.27
Immigration Officer,Administrative & Office Support,15,546,1897,0.287822878,Master's Degree,120000,1195,15%,8,24.95
Juvenile Detention Officer,Administrative & Office Support,15,502,1928,0.260373444,Master's Degree,120000,1155,15%,8,24.15
Military Officer,Information Technology,15,572,2344,0.244027304,Master's Degree,120000,1564,15%,8,26.46
Patrol Officer,Administrative & Office Support,15,565,2259,0.250110668,Master's Degree,120000,1160,15%,8,26.12
Police Cadet,Public Safety & Government,15,537,2063,0.260300533,High School Diploma,35000,986,15%,3,25.13
Police Lieutenant,Public Safety & Government,15,558,2265,0.246357616,High School Diploma,35000,940,15%,3,26
Police Sergeant,Public Safety & Government,15,561,2281,0.245944761,High School Diploma,35000,928,15%,3,26.1
Probation Officer,Administrative & Office Support,15,661,2682,0.246457867,Master's Degree,120000,1041,15%,8,28.96
Public Safety Officer,Administrative & Office Support,15,817,3365,0.242793462,Master's Degree,120000,1101,15%,8,33.59
Cyber Security,Information Technology,15,813,3139,0.258999681,Certification / Professional,65000,1798,15%,3,32.89
Devops,General Business,15,897,3315,0.270588235,High School Diploma,35000,935,15%,3,34.84
Field Technician,Information Technology,15,794,2906,0.273227805,Associate Degree,45000,1643,15%,2,31.94
Information Security,Information Technology,15,1139,4371,0.260581103,Certification / Professional,65000,1737,15%,3,41.96
Information Technology,Information Technology,15,1204,4579,0.262939506,High School Diploma,35000,1382,15%,3,43.65
Infrastructure Manager,General Business,15,1175,4387,0.267836791,Master's Degree,120000,1019,15%,5,42.61
It Operations Manager,Information Technology,15,1208,4479,0.269703059,Master's Degree,120000,1609,15%,5,43.43
It Program Manager,Information Technology,15,1221,4501,0.27127305,Master's Degree,120000,1622,15%,5,43.71
Monitor Technician,Information Technology,15,756,3115,0.242696629,Associate Degree,45000,1810,15%,2,31.82
Network Operations Manager,General Business,15,1053,4388,0.239972653,Master's Degree,120000,1148,15%,5,40.57
Senior Program Manager,General Business,15,1213,5052,0.24010293,Master's Degree,120000,1121,15%,5,45.22
Systems Manager,Information Technology,15,1216,4975,0.244422111,Master's Degree,120000,1738,15%,5,45.04
Technical Lead,Information Technology,15,1259,4828,0.260770505,Master's Degree,80000,1618,15%,5,45.3
Addiction Counselor,General Business,15,800,3204,0.24968789,High School Diploma,35000,994,15%,3,32.84
Behavior Analyst,Finance & Banking,15,811,3056,0.265379581,Doctorate / PhD,130000,983,15%,3,32.64
Behavioral Therapist,Healthcare,15,786,2995,0.262437396,High School Diploma,35000,1862,15%,3,32.03
Chemical Dependency Counselor,General Business,15,771,2991,0.25777332,High School Diploma,35000,952,15%,3,31.75
Counseling Psychologist,General Business,15,739,2892,0.255532503,High School Diploma,35000,912,15%,3,30.92
Developmental Psychologist,General Business,15,722,2886,0.25017325,High School Diploma,35000,1094,15%,3,30.6
Licensed Professional Counselor,General Business,15,655,2892,0.22648686,High School Diploma,35000,969,15%,3,29.42
Rehabilitation Counselor,Information Technology,15,783,3133,0.249920204,High School Diploma,35000,1498,15%,3,32.35
Vocational Rehabilitation Counselor,Information Technology,15,746,2931,0.254520641,High School Diploma,35000,1587,15%,3,31.15
Commercial Real Estate Broker,General Business,15,938,3670,0.255585831,High School Diploma,35000,1020,15%,3,36.54
Housing Coordinator,General Business,15,673,2555,0.263405088,High School Diploma,35000,1055,15%,5,28.86
Lease Operator,Manufacturing & Labor,15,517,1986,0.260322256,Associate Degree,40500,701,15%,2,24.57
Real Estate Administrative Assistant,Administrative & Office Support,15,1076,4249,0.253236056,Associate Degree,40500,1030,15%,0,40.55
Real Estate Agent,General Business,15,1093,4314,0.25336115,High School Diploma,35000,967,15%,3,41.02
Real Estate Appraiser,General Business,15,1014,4121,0.246056782,High School Diploma,35000,1042,15%,3,39.13
Real Estate Assistant,Administrative & Office Support,15,1056,4199,0.25148845,Associate Degree,40500,1179,15%,0,40.06
Real Estate Associate,General Business,15,1058,4199,0.251964754,High School Diploma,35000,1083,15%,3,40.1
Real Estate Broker,General Business,15,1071,4256,0.251644737,High School Diploma,35000,1049,15%,3,40.48
